model,outcome,term,coefficient,standard_error,p_value,odds_ratio,or_ci_lower,or_ci_upper
Model 3: + ICU type,mortality_3d,icu_type_Intensive Care Unit (ICU),-21.034547334968856,0.555379286556053,0.0,7.325076473900737e-10,2.4664508033623064e-10,2.175463839592839e-09
Model 3: + ICU type,mortality_3d,icu_type_Medical Intensive Care Unit (MICU),2.4288153546101174,0.11993589872547274,3.4848641007623234e-91,11.345433800005372,8.968741028517702,14.351943901715957
Model 3: + ICU type,mortality_3d,icu_type_Medical/Surgical Intensive Care Unit (MICU/SICU),2.3603749438343153,0.12811814867582652,8.523751848724613e-76,10.594923208926678,8.2422056713499,13.619218238298169
Model 3: + ICU type,mortality_3d,icu_type_Medicine,-20.573988160143365,0.4125332987461829,0.0,1.1609953259247542e-09,5.17227361080286e-10,2.606030245584588e-09
Model 3: + ICU type,mortality_3d,icu_type_Medicine/Cardiology Intermediate,-20.613178480453627,1.0074110821477362,4.742033621281235e-93,1.1163755888554494e-09,1.5498885278839557e-10,8.04118769169743e-09
Model 3: + ICU type,mortality_3d,icu_type_Neuro Intermediate,-20.67061987194313,0.13977158878112733,0.0,1.0540564061971233e-09,8.014751473633982e-10,1.386237503558471e-09
Model 3: + ICU type,mortality_3d,icu_type_Neuro Stepdown,-20.59393981450197,0.21079239938714686,0.0,1.1380610971505039e-09,7.529025399552822e-10,1.7202532759742508e-09
Model 3: + ICU type,mortality_3d,icu_type_Neuro Surgical Intensive Care Unit (Neuro SICU),3.0475365727553294,0.21916280122528242,5.877445142006224e-44,21.063392324189262,13.708079117190929,32.36532940974386
Model 3: + ICU type,mortality_3d,icu_type_PACU,-20.85230883335147,0.21275457603438003,0.0,8.789361736373896e-10,5.792423613016996e-10,1.3336883642147198e-09
Model 3: + ICU type,mortality_3d,icu_type_Surgery/Trauma,-20.606920100461288,0.6015059949299028,3.2169807162254287e-257,1.1233841999045653e-09,3.4556160320481635e-10,3.6520031418167435e-09
